song_id,song_name,artist_name,album_name,date_added,track_path,play_count,duration,cloud_status,is_favorited,hash
7566,Oops!… I Did It Again,Britney Spears,,2020-11-20,/Users/alex/Music/Musica/Music/Britney Spears/Unknown Album/Oops!… I Did It Again.mp3,15,214,unknown,0,90e8f6129df7013204217caa5acab82fe86370d95ec72eb74fee4c76e5f4f92a
10962,Smalltown Boy,Bronski Beat,The Age of Consent,2024-11-20,/Users/alex/Music/Musica/Music/Bronski Beat/The Age of Consent/06 Smalltown Boy.mp3,10,304,unknown,1,f8737342c2b6e3d606871f980be8cc61ba2a6bb1aceaf40507866247e2cf3f64
8390,Not Into You,Brooksie,Not Into You,2021-09-26,/Users/alex/Music/Musica/Music/Brooksie/Not Into You/Not Into You.mp3,36,158,unknown,1,eaccc4945a144786d6c3855b16690178c577c407ea8092a0f0d81dc337f94385
9168,L'Opera,Bruce Broughton,I Tre Moschettieri Soundtrack,2022-09-24,/Users/alex/Music/Musica/Music/Compilations/I Tre Moschettieri Soundtrack/L'Opera.mp3,22,315,unknown,0,49ded89927e44e6439d53d3ba9d4f1c62579f42c4c97cf5dd17600b034da14ff
10060,Vois sur ton chemin,Bruno Coulais,Les Choristes Soundtrack,2023-11-23,/Users/alex/Music/Musica/Music/Bruno Coulais/Les Choristes Soundtrack/07 Vois sur ton chemin.mp3,34,281,unknown,1,b39f48c82b8f17bf67f90bd2692282bd6c044de0b8c667a146bc81dc5fefde12
9912,The Lazy Song,Bruno Mars,Doo-Wops & Hooligans,2023-09-20,/Users/alex/Music/Musica/Music/Bruno Mars/Doo-Wops & Hooligans/05 The Lazy Song.mp3,10,398,unknown,0,08ea72a0cf4b354c0b09b4f213ca2b9781a5170d45f1656f78d1c3476cf91cd6
5348,Grenade,Bruno Mars,Doo-Wops & Hooligans,2020-11-20,/Users/alex/Music/Musica/Music/Bruno Mars/Doo-Wops & Hooligans/Grenade.mp3,76,236,unknown,1,d6c58aab8a4cd48e7e6ac038a8eed8e05d909ef90582853360b0dcdeb564f438
8438,Just The Way You Are,Bruno Mars,Doo-Wops & Hooligans,2021-10-18,/Users/alex/Music/Musica/Music/Bruno Mars/Doo-Wops & Hooligans/Just The Way You Are.mp3,15,237,unknown,0,1c8c6a6db61488dd971fd6b30ec2d397110ed5d674db7d0597e903daa0622823
10920,Locked out of Heaven,Bruno Mars,Unorthodox Jukebox,2024-11-02,/Users/alex/Music/Musica/Music/Bruno Mars/Unorthodox Jukebox/02 Locked out of Heaven.mp3,9,234,unknown,0,09688342cdd8f60a0ec24bc1feacd2e7af31421c75f7a73f3b35a29199b6f5ed
5512,When I Was Your Man,Bruno Mars,Unorthodox Jukebox,2020-11-20,/Users/alex/Music/Musica/Music/Bruno Mars/Unorthodox Jukebox/When I Was Your Man.mp3,50,234,unknown,0,99a628cb8986cdf45b266d3d5e9ffd081d2ac8c8c9177ccff876c7a299e6349d
